Date,MSFT,META,GOOG,AMZN,NFLX,AAPL,TSLA,NVDA,JPM,V,MA,BABA,ADBE,CMCSA,ORCL,WFC,C,DIS,QCOM,IBM,KO,INTC,AMD,HON,TXN,LMT,GS,BKNG,VZ,T,UPS,FDX,ADP,SYK,KMX,CAT,CNI,WM,ECL,SPGI,MSCI,FIS,REGN,GILD,ZBH,VLO,PCAR,NEM,CI
2018-01-02,85.94999694824219,181.4199981689453,53.25,59.45050048828125,201.07000732421875,43.064998626708984,21.368667602539062,4.983749866485596,107.94999694824219,114.51000213623047,151.91000366210938,183.64999389648438,177.6999969482422,41.06999969482422,46.630001068115234,61.09000015258789,74.36000061035156,111.80000305175781,65.19999694824219,147.46653747558594,45.540000915527344,46.849998474121094,10.979999542236328,147.3232421875,105.56999969482422,318.5400085449219,255.6699981689453,1784.75,53.529998779296875,29.108760833740234,123.66999816894531,257.6000061035156,115.98999786376953,157.89999389648438,64.76000213623047,157.0399932861328,83.27999877929688,86.0999984741211,134.5,168.1199951171875,127.68000030517578,93.69999694824219,382.6000061035156,74.0999984741211,120.44660186767578,92.80000305175781,48.68000030517578,38.15999984741211,202.55999755859375
2018-01-03,86.3499984741211,184.6699981689453,54.124000549316406,60.209999084472656,205.0500030517578,43.057498931884766,21.149999618530273,5.3117499351501465,108.05999755859375,115.6500015258789,153.82000732421875,184.0,181.0399932861328,40.40999984741211,47.709999084472656,61.560001373291016,74.58999633789062,112.27999877929688,65.94000244140625,151.52008056640625,45.439998626708984,45.2599983215332,11.550000190734863,146.10601806640625,108.43000030517578,321.2099914550781,253.2899932861328,1824.1600341796875,52.43000030517578,28.436555862426758,126.41000366210938,260.82000732421875,117.25,158.7899932861328,66.94000244140625,157.27999877929688,83.43000030517578,87.3499984741211,135.3699951171875,170.82000732421875,129.6199951171875,94.25,393.7799987792969,74.66000366210938,121.28155517578125,93.29000091552734,49.27333450317383,37.84000015258789,205.9600067138672
2018-01-04,87.11000061035156,184.3300018310547,54.31999969482422,60.47949981689453,205.6300048828125,43.25749969482422,20.974666595458984,5.339749813079834,109.04000091552734,116.08000183105469,155.80999755859375,185.7100067138672,183.22000122070312,40.66999816894531,48.18000030517578,62.33000183105469,75.51000213623047,112.2300033569336,66.02999877929688,154.5889129638672,46.08000183105469,44.43000030517578,12.119999885559082,148.08041381835938,108.29000091552734,326.7200012207031,256.8299865722656,1807.25,52.599998474121094,28.70090675354004,127.2300033569336,264.8800048828125,118.37000274658203,158.74000549316406,68.25,159.44000244140625,84.26000213623047,88.0999984741211,136.47000122070312,173.3800048828125,131.66000366210938,94.94999694824219,382.95001220703125,73.9000015258789,121.10679626464844,93.58999633789062,49.900001525878906,38.2599983215332,207.0399932861328
2018-01-05,88.19000244140625,186.85000610351562,55.11149978637695,61.457000732421875,209.99000549316406,43.75,21.10533332824707,5.385000228881836,108.33999633789062,118.86000061035156,159.0399932861328,190.6999969482422,185.33999633789062,41.040000915527344,48.470001220703125,62.75,75.41000366210938,111.62000274658203,66.47000122070312,155.3441619873047,46.06999969482422,44.7400016784668,11.880000114440918,149.11553955078125,109.12000274658203,329.67999267578125,255.52000427246094,1823.5400390625,52.47999954223633,28.8066463470459,127.62000274658203,265.9200134277344,118.30000305175781,161.05999755859375,71.04000091552734,161.9600067138672,84.94999694824219,87.98999786376953,137.17999267578125,175.6999969482422,133.02999877929688,95.48999786376953,385.1000061035156,74.5199966430664,122.31067657470703,94.02999877929688,50.06666564941406,38.400001525878906,210.5500030517578
2018-01-08,88.27999877929688,188.27999877929688,55.34700012207031,62.34349822998047,212.0500030517578,43.587501525878906,22.42733383178711,5.550000190734863,108.5,119.33999633789062,159.27000427246094,190.3300018310547,185.0399932861328,40.47999954223633,48.97999954223633,62.040000915527344,74.52999877929688,110.0199966430664,66.2699966430664,156.28106689453125,46.0,44.7400016784668,12.279999732971191,148.31044006347656,109.63999938964844,328.1600036621094,251.80999755859375,1851.81005859375,52.38999938964844,28.889728546142578,129.1699981689453,268.6600036621094,117.94000244140625,163.25999450683594,70.05000305175781,166.02999877929688,84.33000183105469,88.05000305175781,136.6999969482422,177.17999267578125,133.2100067138672,95.7300033569336,372.5199890136719,74.4000015258789,122.54368591308594,94.22000122070312,49.90666580200195,38.36000061035156,208.22000122070312
2018-01-09,88.22000122070312,187.8699951171875,55.3129997253418,62.6349983215332,209.30999755859375,43.58250045776367,22.246000289916992,5.548500061035156,109.05000305175781,119.11000061035156,159.5,190.8000030517578,186.6999969482422,40.61000061035156,49.060001373291016,62.2599983215332,75.30999755859375,109.94000244140625,65.2699966430664,156.625244140625,46.22999954223633,43.619998931884766,11.819999694824219,149.52767944335938,110.38999938964844,330.510009765625,253.94000244140625,1865.2900390625,51.61000061035156,28.315710067749023,129.11000061035156,267.75,118.76000213623047,160.77999877929688,69.80000305175781,166.42999267578125,84.01000213623047,87.69000244140625,136.66000366210938,177.24000549316406,134.10000610351562,96.04000091552734,368.6499938964844,78.0999984741211,120.57281494140625,94.0999984741211,49.88666534423828,38.11000061035156,207.8699951171875
2018-01-10,87.81999969482422,187.83999633789062,55.13050079345703,62.71649932861328,212.52000427246094,43.5724983215332,22.31999969482422,5.5920000076293945,110.25,118.9800033569336,159.86000061035156,189.7899932861328,187.11000061035156,41.09000015258789,48.79999923706055,63.119998931884766,75.6500015258789,109.47000122070312,65.26000213623047,156.95985412597656,46.06999969482422,42.5,11.960000038146973,150.56280517578125,109.69999694824219,331.04998779296875,254.3300018310547,1872.9100341796875,51.689998626708984,27.65860939025879,129.7899932861328,268.010009765625,117.6500015258789,159.5399932861328,70.30000305175781,165.8699951171875,81.16999816894531,87.2699966430664,135.1199951171875,175.61000061035156,133.75,97.27999877929688,366.4599914550781,78.70999908447266,118.96116638183594,94.1500015258789,49.40666580200195,38.34000015258789,207.08999633789062
2018-01-11,88.08000183105469,187.77000427246094,55.2760009765625,63.83399963378906,217.24000549316406,43.81999969482422,22.530000686645508,5.6020002365112305,110.83999633789062,119.83999633789062,160.9199981689453,188.75,188.9199981689453,42.599998474121094,48.95000076293945,63.0099983215332,75.55999755859375,110.98999786376953,65.43000030517578,156.97897338867188,46.040000915527344,43.40999984741211,12.140000343322754,151.35830688476562,110.66999816894531,331.1300048828125,255.1300048828125,1893.0999755859375,52.11000061035156,27.55286979675293,133.4600067138672,271.19000244140625,117.18000030517578,158.60000610351562,71.91000366210938,169.1999969482422,81.38999938964844,88.18000030517578,137.02999877929688,176.39999389648438,134.75999450683594,97.77999877929688,368.260009765625,79.05999755859375,118.72815704345703,94.55000305175781,50.380001068115234,38.84000015258789,210.88999938964844
2018-01-12,89.5999984741211,179.3699951171875,56.112998962402344,65.26000213623047,221.22999572753906,44.272499084472656,22.4146671295166,5.57450008392334,112.66999816894531,120.08999633789062,162.3300018310547,187.7899932861328,195.0500030517578,42.439998626708984,49.5099983215332,62.54999923706055,76.83999633789062,112.47000122070312,65.37999725341797,155.965576171875,46.150001525878906,43.2400016784668,12.020000457763672,152.4605255126953,112.72000122070312,336.25,257.0299987792969,1919.4000244140625,51.86000061035156,27.87009048461914,134.08999633789062,271.8500061035156,118.47000122070312,158.22999572753906,72.33000183105469,170.3000030517578,80.95999908447266,88.2699966430664,137.67999267578125,177.63999938964844,135.88999938964844,97.61000061035156,366.9599914550781,79.0199966430664,118.54368591308594,96.75,50.93333435058594,39.790000915527344,213.38999938964844
2018-01-16,88.3499984741211,178.38999938964844,56.0880012512207,65.24299621582031,221.52999877929688,44.04750061035156,22.67066764831543,5.502749919891357,112.2699966430664,120.38999938964844,162.2899932861328,182.39999389648438,192.4600067138672,41.81999969482422,49.59000015258789,62.5,77.11000061035156,110.69000244140625,68.25,156.6443634033203,46.529998779296875,43.13999938964844,11.90999984741211,151.32955932617188,112.91999816894531,330.1099853515625,258.4599914550781,1919.469970703125,51.65999984741211,27.73413848876953,132.8800048828125,269.5799865722656,119.38999938964844,159.47000122070312,71.33000183105469,169.30999755859375,81.18000030517578,88.16000366210938,137.02000427246094,175.8300018310547,134.3300018310547,97.16999816894531,370.2099914550781,80.25,118.13592529296875,96.1500015258789,50.64666748046875,40.0,214.75
